Age 	 GS
5.425814100000000508e+03	1.835769999999999982e+02
5.425829300000000330e+03	1.824120000000000061e+02
5.425844000000000051e+03	1.815629999999999882e+02
5.425858600000000479e+03	1.805999999999999943e+02
5.425873000000000502e+03	1.798170000000000073e+02
5.425887200000000121e+03	1.790759999999999934e+02
5.425901200000000244e+03	1.790229999999999961e+02
5.425914999999999964e+03	1.789099999999999966e+02
5.425928499999999985e+03	1.792849999999999966e+02
5.425942000000000007e+03	1.796179999999999950e+02
5.425955299999999625e+03	1.796190000000000282e+02
5.425968399999999747e+03	1.792949999999999875e+02
5.425981399999999667e+03	1.796509999999999820e+02
5.425994200000000092e+03	1.798779999999999859e+02
5.426006900000000314e+03	1.799550000000000125e+02
5.426019599999999627e+03	1.799449999999999932e+02
5.426032100000000355e+03	1.793790000000000191e+02
5.426044600000000173e+03	1.790469999999999970e+02
5.426056999999999789e+03	1.786940000000000168e+02
5.426069199999999910e+03	1.781470000000000198e+02
5.426081500000000233e+03	1.779199999999999875e+02
5.426093799999999646e+03	1.776090000000000089e+02
5.426105999999999767e+03	1.775690000000000168e+02
5.426118199999999888e+03	1.773440000000000225e+02
5.426130400000000009e+03	1.769809999999999945e+02
5.426142499999999927e+03	1.767709999999999866e+02
5.426154700000000048e+03	1.763619999999999948e+02
5.426166999999999462e+03	1.755020000000000095e+02
5.426179299999999785e+03	1.739519999999999982e+02
5.426191600000000108e+03	1.718359999999999843e+02
5.426204000000000633e+03	1.700629999999999882e+02
5.426216500000000451e+03	1.685240000000000009e+02
5.426228900000000067e+03	1.669809999999999945e+02
5.426241500000000087e+03	1.659300000000000068e+02
5.426254300000000512e+03	1.653300000000000125e+02
5.426267100000000028e+03	1.641470000000000198e+02
5.426280099999999948e+03	1.623170000000000073e+02
5.426293300000000272e+03	1.607640000000000100e+02
5.426306400000000394e+03	1.593970000000000198e+02
5.426319900000000416e+03	1.583379999999999939e+02
5.426333499999999731e+03	1.580819999999999936e+02
5.426347200000000157e+03	1.581239999999999952e+02
5.426361200000000281e+03	1.581339999999999861e+02
5.426375399999999900e+03	1.578269999999999982e+02
5.426389699999999721e+03	1.577210000000000036e+02
5.426404300000000148e+03	1.576310000000000002e+02
5.426419200000000274e+03	1.575510000000000161e+02
5.426434100000000399e+03	1.576760000000000161e+02
5.426449000000000524e+03	1.580399999999999920e+02
5.426463800000000447e+03	1.587139999999999986e+02
5.426478399999999965e+03	1.600670000000000073e+02
5.426493099999999686e+03	1.616470000000000198e+02
5.426507700000000114e+03	1.629749999999999943e+02
5.426522299999999632e+03	1.640270000000000152e+02
5.426536900000000060e+03	1.653650000000000091e+02
5.426551199999999881e+03	1.670420000000000016e+02
5.426565700000000106e+03	1.684090000000000202e+02
5.426580200000000332e+03	1.694020000000000152e+02
5.426594600000000355e+03	1.707009999999999934e+02
5.426609000000000378e+03	1.718449999999999989e+02
5.426623400000000402e+03	1.726159999999999854e+02
5.426637600000000020e+03	1.738829999999999814e+02
5.426651899999999841e+03	1.747479999999999905e+02
5.426666299999999865e+03	1.755809999999999889e+02
5.426680599999999686e+03	1.763909999999999911e+02
5.426694999999999709e+03	1.772790000000000248e+02
