Distance (mm)	Ba/Ca (uM/M)	Cu/Ca (uM/M)	Ni/Ca  (uM/M)	Co/Ca (uM/M)	Zn/Ca (uM/M)	Sr/Ca  (mM/M)	P/Ca (mM/M)	Mg/Ca (mM/M)	U/Ca (uM/M)	Br/Ca (mM/m)	Pb/Ca (uM/M)	Al/Ca  (mM/M)	Fe/Ca (uM/M)	Mn/Ca  (uM/M)	Na/Ca  (mM/M)	Age (yrs BP)	Age (kyr BP)
178.788	1.14	2.63	1.46	0.10	20.47	0.80	0.93	11.45	0.19	1.39	0.27	0.083	230.78	2.22	0.66	5919.3207	5.9193
178.815	0.77	2.67	1.37	0.09	13.22	0.71	0.91	10.35	0.24	1.48	0.13	0.021	11.96	0.54	0.76	5919.3673	5.9194
178.842	1.02	2.12	1.11	0.00	17.93	0.77	1.17	10.35	0.23	1.59	0.23	0.045	14.23	0.44	0.91	5919.4128	5.9194
178.869	1.30	3.51	2.75	0.08	32.21	0.84	1.06	9.97	0.16	1.77	0.30	0.033	46.38	1.21	0.66	5919.4581	5.9195
178.896	1.49	1.64	1.36	0.09	14.52	0.79	1.05	12.52	0.17	1.60	0.32	0.061	13.47	0.38	0.97	5919.5041	5.9195
178.923	1.00	2.33	1.51	0.18	26.53	0.84	1.07	9.88	0.24	1.43	0.34	0.019	93.58	0.96	0.74	5919.5515	5.9196
178.950	1.23	3.69	2.85	0.09	36.24	0.78	1.14	9.63	0.22	1.34	0.37	0.024	10.76	1.49	0.94	5919.6012	5.9196
178.977	1.26	2.81	2.77	0.22	24.36	0.86	1.34	9.28	0.24	1.46	0.33	0.050	9.78	1.16	1.15	5919.654	5.9197
179.004	1.29	4.93	2.81	0.00	46.92	0.84	1.33	10.02	0.20	1.59	0.60	0.017	18.05	1.80	1.10	5919.7107	5.9197
179.031	1.65	4.56	4.18	0.19	39.64	0.96	1.24	10.75	0.21	1.87	0.45	0.027	26.72	1.12	1.76	5919.7722	5.9198
179.058	1.35	2.73	3.60	0.29	32.35	0.82	1.16	14.37	0.20	1.54	0.33	0.022	16.95	1.13	1.25	5919.8394	5.9198
179.085	1.18	3.60	2.59	0.00	16.00	0.79	1.04	14.23	0.21	1.58	0.29	0.033	30.86	0.66	1.26	5919.9129	5.9199
179.112	1.01	3.16	1.03	0.00	12.16	0.75	1.20	11.69	0.22	1.87	0.17	0.028	7.42	0.44	0.98	5919.9938	5.9200
179.140	1.14	2.76	0.84	0.00	6.91	0.89	1.06	13.24	0.19	1.24	0.11	0.019	2.78	0.32	0.90	5920.1017	5.9201
179.167	0.96	1.93	1.59	0.11	5.51	0.88	0.90	14.19	0.24	1.30	0.11	0.022	14.32	0.39	0.77	5920.2382	5.9202
179.194	1.45	1.76	0.97	0.20	14.28	0.85	0.92	12.12	0.18	1.22	0.12	0.583	22.80	0.47	0.74	5920.3952	5.9204
179.221	1.17	4.39	2.56	0.40	15.37	0.87	1.07	12.73	0.22	1.41	0.23	0.008	34.09	1.09	0.74	5920.5611	5.9206
179.248	1.13	2.74	1.01	0.10	7.47	0.82	1.23	13.19	0.20	1.83	0.20	0.032	9.00	0.84	0.89	5920.7246	5.9207
179.275	0.89	4.72	2.49	0.11	15.18	0.84	1.23	13.39	0.23	1.53	0.11	0.039	36.16	1.43	0.88	5920.8744	5.9209
179.302	1.23	2.29	0.97	0.00	13.33	0.82	1.14	12.37	0.17	1.46	0.13	0.035	18.25	0.55	0.71	5920.9989	5.9210
179.329	1.10	2.24	1.26	0.31	11.38	0.90	1.15	13.30	0.21	1.63	0.16	0.015	15.24	0.50	0.66	5921.1031	5.9211
179.356	1.43	1.59	0.60	0.09	7.51	0.83	1.06	11.75	0.24	1.60	0.10	0.007	5.47	0.39	0.63	5921.202	5.9212
179.383	1.14	3.90	2.18	0.24	14.26	0.79	1.12	13.08	0.23	1.73	0.19	0.032	9.15	1.18	0.64	5921.2961	5.9213
179.410	1.17	2.66	1.06	0.09	6.94	0.90	1.22	13.06	0.22	1.86	0.12	0.018	8.46	0.71	0.67	5921.3859	5.9214
179.437	1.11	3.49	0.88	0.08	8.85	0.80	1.33	11.44	0.22	1.77	0.14	0.019	16.12	0.40	0.67	5921.4719	5.9215
179.464	1.08	2.37	1.14	0.09	7.74	0.84	1.28	13.17	0.24	1.59	0.13	0.019	25.31	0.54	0.74	5921.5547	5.9216
179.491	1.26	2.27	1.77	0.00	8.70	0.84	1.28	12.27	0.19	1.79	0.19	0.092	36.28	0.31	0.63	5921.6346	5.9216
179.518	1.27	2.73	1.79	0.00	10.55	0.90	1.05	11.38	0.20	1.57	0.18	0.027	8.30	0.59	0.56	5921.7121	5.9217
179.545	0.89	2.73	1.47	0.00	13.80	0.85	1.16	13.31	0.22	1.44	0.17	0.027	6.68	0.64	0.81	5921.7879	5.9218
179.572	0.97	2.95	1.16	0.00	9.31	0.88	1.05	14.37	0.25	1.12	0.12	0.015	36.25	0.55	1.00	5921.8624	5.9219
179.599	0.96	2.03	0.95	0.09	10.43	0.82	0.97	13.83	0.19	1.63	0.20	0.015	8.73	0.52	0.85	5921.936	5.9219
179.626	1.05	1.86	1.40	0.34	13.69	0.83	0.99	13.12	0.23	1.64	0.18	0.037	13.13	0.31	0.79	5922.0092	5.9220
179.653	0.95	1.78	1.22	0.00	9.95	0.79	0.83	12.72	0.22	1.48	0.17	0.005	17.31	0.67	0.76	5922.0798	5.9221
179.681	1.34	2.84	1.15	0.08	16.21	0.83	1.00	13.79	0.23	1.53	0.12	0.016	4.39	0.52	0.80	5922.1497	5.9221
179.708	0.95	3.33	2.11		14.42	0.80	0.87	13.53	0.24	1.83	0.28	0.021	15.89	0.59	0.79	5922.2143	5.9222
179.735	0.83	3.02	1.69	0.08	10.35	0.83	1.13	13.04	0.19	2.06	0.08	0.034	12.18	0.85	0.86	5922.2768	5.9223
179.762	1.21	2.72	1.67	0.00	10.04	0.86	0.92	11.54	0.24	1.77	0.16	0.000	10.99	0.70	0.93	5922.3378	5.9223
179.789	1.03	2.79	1.22	0.17	17.95	0.82	0.97	10.50	0.17	1.69	0.19	0.014	5.19	0.74	0.84	5922.3979	5.9224
179.816	1.27	2.40	1.29	1.31	14.86	0.80	1.08	9.48	0.24	1.78	0.36	0.017	4.67	0.53	1.87	5922.4578	5.9225
179.843	1.15	4.12	2.89	0.10	29.68	0.83	1.16	13.91	0.19	1.58		0.051	5.57	1.16	1.35	5922.518	5.9225
179.870	1.37	5.28	2.13	0.00	35.70	0.94	0.91	12.34	0.20	2.01	0.39	0.028	5.41	1.04	1.25	5922.5791	5.9226
179.897	1.18	5.85	1.67	0.08	25.35	0.78	0.89	11.76	0.21	1.96	0.25	0.024	7.96	1.09	1.24	5922.6417	5.9226
179.924	1.21	3.01	1.29	0.09	17.46	0.80	0.93	13.26	0.20	1.81	0.23	0.005	4.49	0.92	1.09	5922.7063	5.9227
179.951	0.99	2.71	2.07	0.00	10.97	0.74	0.86	14.39	0.23	1.20	0.15	0.012	4.37	0.80	0.95	5922.7737	5.9228
179.978	1.22	4.06	1.78	0.08	17.18	0.82	0.64	12.38	0.23	1.84	0.33	0.014	4.85	0.60	0.69	5922.8444	5.9228
180.005	1.13	4.00	1.37	0.08	19.32	0.84	0.87	12.19	0.18	1.50	0.28	0.017	5.74	0.90	1.10	5922.919	5.9229
180.032	1.19	3.53	1.13	0.08	17.88	0.84	1.11	10.15	0.21	1.72	0.27	0.005	6.23	0.57	1.14	5922.9981	5.9230
180.059	0.98	2.74	1.07	0.08	9.98	0.79	1.15	7.63	0.22	1.46	0.14	0.011	5.01	0.46	1.37	5923.0848	5.9231
180.086	0.92	3.35	2.00	0.00	18.07	0.85	1.02	8.30	0.21	1.50	0.21	0.041	7.00	0.62	0.88	5923.181	5.9232
180.113	1.08	2.70	1.39	0.00	20.60	0.81	1.21	9.15	0.15	1.31	0.44	0.013	5.22	0.65	0.76	5923.2848	5.9233
180.140	1.18	5.61	2.72	0.08	31.03	0.90	1.41	7.81	0.22	1.36	0.52	0.020	6.24	1.17	1.13	5923.3941	5.9234
180.167	1.04	6.69	2.59	0.39	23.28	0.81	1.34	6.50	0.22	1.02	0.37	0.015	24.25	1.86	1.48	5923.507	5.9235
180.195	0.98	8.91	4.27	0.16	35.15	0.87	1.48	6.79	0.19	1.54	0.58	0.014	18.62	1.81	1.20	5923.6259	5.9236
180.222	1.29	8.98	3.22	0.57	44.58	0.94	1.51	8.55	0.22	1.49	0.57	0.042	9.08	2.06	1.63	5923.7402	5.9237
180.249	1.26	6.68	3.32	0.16	30.60	0.87	1.43	9.42	0.23	1.48	0.27	0.033	6.58	1.33	1.54	5923.8523	5.9239
180.276	1.39	6.75	2.80	0.24	37.13	0.93	1.19	11.74	0.23	1.31	0.27	0.012	6.72	0.59	1.25	5923.9601	5.9240
180.303	1.28	6.16	2.14	0.26	18.07	0.92	1.09	14.33	0.24	1.32	0.29	0.080	4.79	0.92	1.01	5924.0629	5.9241
180.330	1.05	4.52	3.27	0.09	15.68	0.91	1.17	12.56	0.25	1.19	0.24	0.041	7.56	0.68	0.90	5924.1652	5.9242
180.357	1.12	3.37	1.54	0.16	13.52	0.91	1.19	10.25	0.25	1.24	0.17	0.015	6.80	0.56	0.82	5924.2673	5.9243
180.384	1.05	3.58	1.64	0.16	11.94	0.97	1.43	10.54	0.25	1.43	0.14	0.050	14.48	0.80	0.76	5924.3692	5.9244
180.411	1.08	4.21	1.00	0.08	10.07	0.94	1.13	9.19	0.27	1.43	0.15	0.061	9.75	0.64	0.88	5924.4711	5.9245
180.438	1.03	2.98	1.52	0.00	9.11	1.02	1.34	9.87	0.21	1.30	0.22	0.019	7.10	0.29	0.83	5924.5727	5.9246
180.465	1.55	2.32	1.34	0.09	10.68	1.32	1.17	16.81	0.24	1.19	0.15	0.026	7.26	0.58	1.02	5924.674	5.9247
180.492	1.57	4.35	1.91	0.34	18.04	1.13	1.02	16.74	0.25	1.36	0.33	0.009	14.39	0.74	1.05	5924.7752	5.9248
180.519	1.17	3.36	1.68	0.00	16.05	1.03	0.87	14.60	0.21	1.49	0.29	0.042	12.83	0.53	1.01	5924.876	5.9249
180.546	1.71	6.76	2.51	0.27	38.22	1.09	1.07	13.00	0.15	1.57	0.44	0.000	34.46	2.00	1.14	5924.9765	5.9250
180.573	1.56	5.12	3.11	0.09	39.96	0.94	1.21	11.49	0.17	2.05	0.32	0.016	15.09	1.76	1.16	5925.0787	5.9251
180.600	1.23	2.76	2.44	0.19	26.96	0.94	1.07	16.19	0.18	1.38	0.27	0.027	12.61	1.76	1.21	5925.1857	5.9252
180.627	1.48	3.06	2.51	0.10	14.30	0.92	0.96	17.26	0.16	1.58	0.17		15.99	0.37	1.08	5925.296	5.9253
180.654	1.01	2.07	2.72	0.00	10.41	0.83	0.76	17.33	0.22	1.22	0.11	0.000	5.87	0.88	0.81	5925.4077	5.9254
180.681	0.97	2.89	1.18	0.10	5.54	0.84	0.72	16.14	0.17	1.35	0.07	0.012	5.96	0.28	0.74	5925.5187	5.9255
180.708	0.87	2.25	1.31	0.77	4.78	0.82	0.98	17.44	0.17	1.55	0.09	0.008	5.14	0.25	0.66	5925.6273	5.9256
180.736	1.18	2.19	0.64	0.00	3.28	0.81	1.07	15.60	0.19	1.78	0.03	0.018	13.88	0.34	0.89	5925.7352	5.9257
180.763	0.82	1.09	0.85	0.00	1.79	0.78	1.11	14.87	0.22	1.91	0.03	0.007	50.12	0.16	0.62	5925.8329	5.9258
180.790	0.89	1.95	1.18	0.00	3.12	0.77	1.16	13.97	0.19	2.10	0.04	0.018	7.42	0.29	0.71	5925.9223	5.9259
180.817	0.91	2.16	1.01	0.00	3.53	0.76	1.23	14.41	0.17	2.53	0.05	0.009	3.38	0.21	0.75	5926.0015	5.9260
180.844	0.79	2.67	0.91	0.00	6.00	0.74	1.22	13.09	0.17	2.14	0.11	0.003	29.92	0.13	0.67	5926.0739	5.9261
180.871	0.87	2.21	0.58	0.08	3.22	0.73	1.02	14.09	0.18	1.79	0.05	0.014		0.20	0.62	5926.1434	5.9261
180.898	0.98	1.65	0.54	0.00	3.24	0.70	1.12	15.35	0.21	1.51	0.07	0.016	16.72	0.14	0.63	5926.2103	5.9262
180.925	0.75	1.39	1.06	0.00	9.80	0.74	0.96	14.33	0.17	1.58	0.19	0.005	12.43	0.31	0.65	5926.2747	5.9263
180.952	1.21	3.95	2.85	0.10	45.92	0.82	0.93	16.52	0.26	1.19	0.52	0.035	30.63	1.20	0.81	5926.3368	5.9263
180.979	0.83	2.03	0.78	0.00	22.61	0.83	0.73	17.85	0.20	1.36	0.12	0.072	12.54	0.48	1.18	5926.3967	5.9264
181.006	1.10	1.99	1.73	0.10	9.83	0.99	0.72	13.21	0.25	1.79	0.13	0.043	11.17	0.47	0.69	5926.4548	5.9265
181.033	0.82	2.74	1.65	0.16	11.04	0.95	0.74	11.42	0.20	2.01	0.17	0.037	17.57	0.38	0.66	5926.5112	5.9265
181.060	1.20	3.47	2.03	0.16	14.99	0.95	0.84	12.00	0.22	2.22	0.81	0.026	12.48	0.64	0.84	5926.566	5.9266
181.087	1.21	2.47	1.21	0.08	13.22	0.97	0.97	12.90	0.21	1.81	0.05		4.14	0.22	0.80	5926.6194	5.9266
181.114	0.91	2.56	0.85	0.08	9.05	0.92	1.08	12.50	0.21	1.76	0.11	0.003	12.75	0.51	0.77	5926.6717	5.9267
181.141	1.09	2.45	1.40	0.00	7.87	0.90	1.02	11.63	0.19	2.05	0.07	0.014	15.32	0.44	0.74	5926.723	5.9267
181.168	1.04	2.66	0.75	0.00	8.90	0.86	0.98	14.30	0.24	2.01	0.20	0.016	5.10	0.18	0.71	5926.7735	5.9268
181.195	0.94	2.58	1.48	0.00	8.99	0.82	0.98	12.90	0.19	2.29	0.13	0.005	6.21	0.78	0.80	5926.8234	5.9268
181.222	0.82	2.47	1.30	0.09	10.80	0.80	1.13	15.13	0.22	1.87	0.14	0.011	10.57	0.27	0.89	5926.8729	5.9269
181.249	0.77	1.44	1.97	0.08	5.12	0.80	0.90	14.14	0.20	1.72	0.07	0.023	2.66	0.13	0.74	5926.9221	5.9269
181.277	1.39	3.32	1.63	0.25	20.68	0.80	0.83	14.28	0.27	2.12	0.20	0.000	6.54	0.80	0.73	5926.9732	5.9270
181.304	1.04	3.31	0.78	0.08	11.32	0.81	1.01	14.80	0.24	2.14	0.16	0.021	4.40	0.40	0.82	5927.0224	5.9270
181.331	1.14	2.70	1.17	0.36	13.64	0.90	0.83	14.82	0.21	1.86	0.25	0.019	6.64	0.60	0.81	5927.0712	5.9271
181.358	1.16	3.07	1.34	0.17	11.33	0.85	1.09	13.78	0.25	2.12	0.15	0.026	4.73	0.49	0.86	5927.1193	5.9271
181.385	1.22	3.28	1.15	0.00	11.57	0.83	1.03	11.46	0.20	1.89	0.13	0.019	4.49	0.60	0.80	5927.1669	5.9272
181.412	1.22	3.52	1.24	0.16	6.27	0.83	1.16	11.59	0.21	1.64	0.07	0.008	10.66	0.30	1.05	5927.2138	5.9272
181.439	0.87	1.78	0.81	0.08	9.63	0.87	1.17	12.07	0.25	1.46	0.15	0.003	2.84	0.51	0.75	5927.2603	5.9273
181.466	1.03	3.76	2.82	0.16	13.37	0.82	1.01	13.88	0.25	1.68	0.19	0.032	6.31	0.85	0.90	5927.3062	5.9273
181.493	1.58	3.00	2.21	0.00	14.98	0.92	0.92	14.07	0.23	1.29	0.45	0.007	12.36	1.46	0.87	5927.3517	5.9274
181.520	1.78	3.83	2.28	0.00	21.74	0.95	1.05	15.48	0.22	1.69	0.36	0.086	10.81	0.68	1.27	5927.3967	5.9274
181.547	1.59	4.34	2.30	0.08	25.03	0.97	0.85	15.09	0.26	1.73	0.77	0.000	4.36	0.80	1.23	5927.4413	5.9274
181.574	1.38	3.70	3.16	0.09	23.86	0.93	1.03	14.43	0.25	1.62	0.27	0.010	7.40	1.27	1.43	5927.4855	5.9275
181.601	1.45	4.41	2.14	0.08	22.70	0.94	1.20	13.35	0.24	1.89	0.37	0.005	4.73	0.35	1.35	5927.5294	5.9275
181.628	0.97	3.46	1.37	0.00	14.36	0.96	1.33	12.57	0.28	1.82	0.18	0.009	3.37	0.61	1.22	5927.573	5.9276
181.655	1.18	3.44	1.03	0.00	10.92	0.96	1.34	10.36	0.24	1.77	0.13	0.008	3.82	0.30	0.95	5927.6163	5.9276
181.682	1.46	2.99	1.05	0.00	12.23	1.01	1.21	11.45	0.21	1.69	0.21	0.000	5.88	0.40	1.81	5927.6593	5.9277
181.709	1.29	1.88	1.14	0.17	14.98	0.96	1.07	13.89	0.22	1.96	0.44	0.008	3.26	0.54	1.12	5927.7022	5.9277
181.736	1.39	4.21	1.59	0.00	16.40	0.97	1.04	12.75	0.21	1.83	0.17	0.008	6.20	0.56	0.99	5927.7448	5.9277
181.763	1.23	2.96	0.82	0.09	6.04	1.01	1.24	12.80	0.23	2.26	0.10	0.018	3.48	0.36	0.93	5927.7873	5.9278
181.791	1.39	3.11	1.23	0.08	6.92	0.98	1.18	12.78	0.21	1.98	0.09	0.004	46.20	0.32	0.83	5927.8312	5.9278
181.818	1.33	2.34	0.99	0.16	8.89	0.95	1.27	12.23	0.19	1.98	0.17	0.000	4.68	0.31	0.80	5927.8735	5.9279
181.845	1.20	4.83	2.52	0.16	18.15	0.97	1.32	11.37	0.18	1.69	0.29	0.012	12.79	0.90	0.90	5927.9157	5.9279
181.872	1.09	3.49	1.79	0.08	11.21	0.86	1.48	10.99	0.21	1.84	0.24	0.041	5.35	0.33	1.21	5927.9579	5.9280
181.899	1.18	4.76	2.89	0.09	17.32	0.91	1.59	10.92	0.24	1.76	0.30	0.011	9.40	0.58	1.20	5928	5.9280
181.926	1.03	5.39	1.69	0.09	19.23	0.83	1.85	11.46	0.23	1.69	0.29	0.071	5.89	0.82	1.28	5928.0417	5.9280
181.953	1.30	4.62	2.03	0.00	18.99	0.85	1.38	10.31	0.22	1.93	0.17	0.009	5.27	0.33	1.06	5928.0824	5.9281
181.980	0.85	3.56	0.80	0.00	9.12	0.85	1.30	10.41	0.21	1.97	0.16	0.013	29.66	0.46	0.95	5928.1225	5.9281
182.007	1.51	3.20	2.25	0.09	17.85	0.85	1.59	11.80	0.23	1.97	0.30	0.009	7.36	0.28	1.09	5928.1619	5.9282
182.034	1.47	3.54	2.60	0.00	20.53	0.82	1.39	13.15	0.21	1.81	0.33	0.023	6.09	0.87	1.19	5928.2008	5.9282
182.061	1.08	3.44	1.97	0.08	22.29	0.87	1.24	13.80	0.19	1.82	0.37	0.034	6.78	0.82	1.12	5928.2392	5.9282
182.088	1.56	3.45	2.30	0.17	20.29	0.81	1.11	15.98	0.30	1.38	0.16	0.029	5.84	0.73	1.39	5928.2774	5.9283
182.115	1.36	2.17	1.54	0.00	12.13	0.86	0.83	15.63	0.25	1.05	0.14	0.001	3.84	0.40	1.11	5928.3154	5.9283
182.142	1.17	2.05	1.09	0.00	44.84	0.87	0.94	15.77	0.22	1.34	0.06	0.003	5.44	0.41	1.00	5928.3534	5.9284
182.169	0.94	2.41	0.38	0.18	6.73	0.85	0.86	14.46	0.25	1.46	0.12	0.009	3.39	0.26	0.90	5928.3914	5.9284
182.196	1.10	1.58	1.19	0.09	11.19	0.80	0.88	15.18	0.20	1.67	0.19	0.016	9.71	0.20	0.90	5928.4295	5.9284
182.223	0.92	3.07	1.77	0.09	12.02	0.82	0.97	15.48	0.24	1.54	0.08	0.015	3.98	0.28	1.02	5928.4679	5.9285
182.250	1.02	2.68	0.88	0.00	7.92	0.80	0.91	14.54	0.24	1.73	0.04	0.024	5.25	0.35	0.90	5928.5066	5.9285
182.277	0.96	1.47	0.72	0.00	10.79	0.80	0.94	15.14	0.22	1.57	0.13	0.017	3.60	0.30	0.93	5928.5459	5.9285
182.304	1.03	3.95	2.90	0.00	19.80	0.84	1.04	14.27	0.22	1.86	0.18	0.034	9.12	0.53	0.93	5928.5857	5.9286
182.332	1.31	3.22	1.73	0.17	24.63	0.82	1.15	12.77	0.24	1.62	0.30	0.008	11.18	1.04	0.90	5928.6278	5.9286
182.359	1.89	21.90	2.32	0.25	41.55	0.89	1.31	11.74	0.29	1.79	0.90	0.010	10.46	1.89	1.07	5928.6692	5.9287
182.386	1.52	6.34	2.02	0.08	31.93	0.84	1.45	11.89	0.23	1.86	0.53	0.038	7.21	1.36	1.62	5928.7115	5.9287
182.413	1.68	6.55	2.64	0.31	33.41	0.88	1.47	9.46	0.29	1.34	0.42	0.017	14.15	1.77	1.46	5928.7549	5.9288
182.440	1.54	4.68	1.43	0.00	25.65	0.87	1.40	9.52	0.30	1.79	0.51	0.011	6.95	1.49	1.43	5928.7994	5.9288
182.467	1.40	6.18	4.26	0.24	28.75	0.87	1.52	10.04	0.25	1.58	0.33	0.017	11.38	1.82	1.43	5928.8452	5.9288
182.494	1.75	3.21	1.17	0.16	14.44	0.94	1.55	12.23	0.30	1.62	0.23	0.022	10.84	0.54	1.34	5928.8923	5.9289
182.521	1.47	4.11	1.80	0.24	30.03	0.99	0.98	14.35	0.28	1.73	0.48	0.017	10.53	1.27	1.20	5928.941	5.9289
182.548	1.21	3.59	1.10	0.24	21.98	1.03	0.87	13.20	0.23	2.14	0.36	0.029	9.31	0.84	1.37	5928.9913	5.9290
182.575	1.69	6.30	3.72	0.08	34.66	1.08	1.21	12.03	0.25	2.14	0.45	0.073	34.29	1.88	1.70	5929.0449	5.9290
182.602	1.04	5.42	1.66	0.16	26.23	0.97	1.35	10.98	0.21	2.31	0.29	0.016	13.43	0.96	2.80	5929.1043	5.9291
182.629	1.25	3.74	1.77	0.09	18.97	0.92	1.46	12.29	0.24	2.09	0.20	0.009	15.37	1.92	1.61	5929.1687	5.9292
182.656	1.36	3.19	1.42	0.10	13.25	0.93	1.28	13.08	0.22	1.32	0.12	0.008	11.10	0.46	1.83	5929.2371	5.9292
182.683	1.23	4.80	2.39	0.09	18.27	0.93	1.06	13.29	0.21	1.72	0.28	0.013	17.97	0.76	1.30	5929.3086	5.9293
182.710	0.89	2.98	2.31	0.26	8.63	0.81	1.02	15.55	0.23	1.79	0.08	0.016	14.25	0.62	1.45	5929.3823	5.9294
182.737	1.09	3.40	1.27	0.00	11.88	0.85	0.96	16.12	0.22	1.69	0.08	0.009	7.83	0.60	1.09	5929.4574	5.9295
182.764	1.25	1.69	9.63	0.00	8.82	0.83	1.03	17.61	0.16	1.36	0.06	0.038	4.60	0.45	0.99	5929.5328	5.9295
182.791	0.99	2.43	1.14	0.00	3.96	0.80	0.79	16.76	0.19	1.29	0.13	0.011	11.92	0.31	0.95	5929.6078	5.9296
182.818	0.99	2.47	1.83	0.10	7.09	0.82	0.84	18.42	0.22	1.02	0.17	0.008	14.49	1.95	1.05	5929.6813	5.9297
182.845	1.06	1.44	1.83	0.00	6.40	0.78	0.70	18.08	0.20	1.26	0.22	0.010	10.97	0.06	1.06	5929.7525	5.9298
182.873	0.81	3.15	1.60	0.00	10.29	0.81	0.78	15.66	0.25	1.35	0.11	0.010	5.34	0.38	1.33	5929.8229	5.9298
182.900	1.14	4.55	2.84	0.00	18.33	0.80	0.73	14.89	0.30	1.82	0.40	0.011	7.09	0.78	1.12	5929.8866	5.9299
182.927	1.05	5.02	2.03	0.00	27.85	0.83	0.64	13.33	0.28	1.69	0.27	0.009	11.18	2.12	1.22	5929.9452	5.9299
182.954	1.09	5.99	2.75	0.09	25.94	0.79	0.91	15.08	0.28	1.62	0.36	0.132	33.37	0.99	1.29	5929.9978	5.9300
182.981	1.11	7.17	4.50	0.39	39.73	0.78	0.78	12.28	0.27	1.91	0.37	0.047	16.48	2.89	1.15	5930.0453	5.9300
183.008	1.05	7.63	4.43	0.08	30.77	0.83	0.98	11.75	0.20	1.54	0.47	0.030	24.22	2.69	1.57	5930.0895	5.9301
183.035	1.50	10.73	4.52	0.41	65.44	0.88	1.25	9.46	0.24	1.97	0.71	0.031	17.72	1.36	1.43	5930.1307	5.9301
183.062	1.05	8.31	3.73	0.09	33.34	0.69	1.37	13.25	0.27	1.59	0.19	0.507	20.13	1.24	2.67	5930.1691	5.9302
183.089	1.15	5.06	2.63	0.00	10.91	0.79	1.03	18.44	0.27	1.88	0.15	0.092	24.39	0.29	1.39	5930.2053	5.9302
183.116	1.07	4.64	2.67	0.00	42.19	0.79	1.23	13.39	0.30	1.49	0.24	0.030	12.27	0.52	1.74	5930.2393	5.9302
183.143	1.39	3.66	2.45	0.00	19.75	0.91	1.08	12.12	0.27	1.58	0.11	0.030	19.02	0.65	1.25	5930.2717	5.9303
183.170	1.39	3.65	2.11	0.00	18.88	0.93	0.95	11.99	0.31	1.58	0.21	0.033	14.97	0.84	1.43	5930.3026	5.9303
183.197	1.37	7.45	4.18	0.00	44.34	0.89	0.83	13.06	0.23	2.05	0.31	0.090	55.94	1.54	1.80	5930.3325	5.9303
183.224	1.30	6.29	2.84	0.16	25.10	0.89	0.78	12.77	0.24	1.57	0.36	0.015	23.95	0.78	2.05	5930.3616	5.9304
183.251	0.94	10.99	3.36	0.24	33.38	0.85	0.80	14.44	0.26	1.96	0.40	0.050	34.77	1.80	2.06	5930.3903	5.9304
183.278	1.25	15.46	7.63	0.26	110.31	0.82	0.84	14.28	0.23	2.00	0.65	0.076	78.40	3.28	2.31	5930.4188	5.9304
183.305	1.02	4.51	3.44	0.10	22.75	0.77	0.90	16.65	0.30	1.59	0.33		36.96	1.57	2.49	5930.4476	5.9304
183.332	1.36	2.96	1.35	0.10	14.72	0.82	0.78	15.77	0.22	1.46	0.17	0.040	22.23	1.17	1.94	5930.4769	5.9305
183.359	1.14	3.99	3.11	0.00	16.84	0.88	0.93	14.69	0.20	1.60	0.31	0.073		0.61	1.56	5930.507	5.9305
183.387	1.01	6.40	3.42	0.00	17.73	0.82	0.95	13.29	0.14	1.63	0.53	0.023	22.17	0.85	1.77	5930.5396	5.9305
183.414	1.37	4.91	7.19	0.10	25.65	0.84	0.99	15.85	0.17	1.73	0.44	0.031	59.19	2.06	3.00	5930.5724	5.9306
183.441	0.96	2.78	2.89	0.11	15.56	0.68	0.75	16.22	0.19	0.91	0.13	0.061	23.26	1.11	2.50	5930.6071	5.9306
183.468	0.84	3.05	3.49	0.00	8.38	0.69	0.54	17.79	0.18	1.01	0.09	0.015	31.66	0.35	1.09	5930.644	5.9306
183.495	0.99	2.31	1.33	0.00	4.85	0.71	0.58	17.58	0.16	1.02	0.12	0.000	4.24	0.45	0.91	5930.6833	5.9307
183.522	0.78	2.25	0.89	0.00	2.46	0.70	0.64	17.24	0.16	1.13	0.10	0.132	9.61	0.23	0.92	5930.7254	5.9307
183.549	0.90	6.24	1.49	0.00	12.79	0.69	0.58	18.05	0.18	0.98	0.43	0.010	19.97	0.74	1.02	5930.7706	5.9308
183.576	0.61	7.29	3.92	0.10	35.51	0.66	0.45	16.56	0.26	1.03	0.48	0.036	20.94	0.64	0.98	5930.8193	5.9308
183.603	0.93	3.96	1.45	0.00	21.73	0.71	0.50	18.56	0.25	0.83	0.32	0.040	33.36	0.37	1.24	5930.8717	5.9309
183.630	1.06	3.38	2.50	0.00	27.04	0.79	0.61	18.71	0.25	1.06	0.38	0.031	26.33	0.75	1.32	5930.9282	5.9309
183.657	1.00	3.14	1.03	0.21	23.59	0.74	0.52	17.98	0.21	1.21	0.17	0.069	22.20	0.69	1.27	5930.9891	5.9310
183.684	1.14	2.09	0.61	0.10	12.68	0.69	0.58	14.82	0.15	1.31	0.12	0.016	12.62	0.33	0.87	5931.0655	5.9311
183.711	1.13	2.92	0.82	0.00	12.79	0.73	0.56	17.83	0.16	1.30	0.18	0.021	13.30	1.25	1.16	5931.1758	5.9312
183.738	0.92	2.19	1.06	0.10	12.27	0.69	0.70	16.25	0.22	1.34	0.17	0.031	11.66	0.99	1.11	5931.3107	5.9313
